id,cpuUsage,dataId,description,name,receivedDate,sendedDate,timeDiff
1,84.3,2916,description2916,name2916,4636
2,0,2914,description2914,name2914,4636
3,80.6,2917,description2917,name2917,4644
4,96.5,2915,description2915,name2915,4636
5,110.5,2918,description2918,name2918,4762
6,42.7,2919,description2919,name2919,4761
7,75.8,2921,description2921,name2921,4761
8,59.5,2920,description2920,name2920,4761
9,38.4,2922,description2922,name2922,4768
10,146.5,3166,description3166,name3166,4769
11,75.9,3167,description3167,name3167,4768
12,61.3,3168,description3168,name3168,4770
13,44.8,3169,description3169,name3169,4775
14,57,3170,description3170,name3170,4775
15,66.9,3171,description3171,name3171,4778
16,52.1,3172,description3172,name3172,4780
17,61.6,3174,description3174,name3174,4784
18,37.9,3173,description3173,name3173,4783
19,71.4,234,description234,name234,4786
20,34,235,description235,name235,4789
21,25.2,236,description236,name236,4794
22,49.4,237,description237,name237,4794
23,54.3,3535,description3535,name3535,4794
24,68.2,238,description238,name238,4795
25,34.5,3536,description3536,name3536,4797
26,56.8,3537,description3537,name3537,4799
27,61.6,3538,description3538,name3538,4800
28,52.6,3539,description3539,name3539,4802
29,31.8,3540,description3540,name3540,4805
30,14.2,3542,description3542,name3542,4806
31,53.9,3541,description3541,name3541,4806
32,53.7,3526,description3526,name3526,4810
33,44.4,3527,description3527,name3527,4812
34,24,3528,description3528,name3528,4814
35,37,3543,description3543,name3543,4809
36,41,3529,description3529,name3529,4817
37,41,3530,description3530,name3530,4819
38,30.3,3531,description3531,name3531,4821
39,60.7,3533,description3533,name3533,4823
40,34.9,3532,description3532,name3532,4822
41,40.2,3534,description3534,name3534,4826
42,31.7,3563,description3563,name3563,4829
43,55.9,3562,description3562,name3562,4827
44,30.9,3564,description3564,name3564,4833
45,69.6,3565,description3565,name3565,4834
46,55,3567,description3567,name3567,4836
47,42.8,3566,description3566,name3566,4835
48,12.2,3568,description3568,name3568,4848
49,34,3569,description3569,name3569,4851
50,22.9,3706,description3706,name3706,4856
51,0,3570,description3570,name3570,4856
52,33.5,3707,description3707,name3707,4860
53,29.9,3708,description3708,name3708,4863
54,20.4,3709,description3709,name3709,4865
55,32.7,3710,description3710,name3710,4865
56,29.5,3711,description3711,name3711,4871
57,44.3,3712,description3712,name3712,4871
58,25.6,3713,description3713,name3713,4879
59,220.6,3914,description3914,name3914,4884
60,74.2,3913,description3913,name3913,4884
61,36.2,3714,description3714,name3714,4883
62,53.8,3915,description3915,name3915,4892
63,28.1,3916,description3916,name3916,4892
64,79.7,3917,description3917,name3917,4893
65,52.3,3918,description3918,name3918,4896
